"id","faculty_id","start_year","title"
"176417","450336","2014","ПСС41"
"176673","450336","2014","ПСС42"
"175905","450336","2014","ПСТ42"
"176161","450336","2014","ПСТ43"
"652065","9759","2017","ПУп11"
"-104388","9759","2016","ПУп21"
"326689","9759","2015","ПУп31"
"138017","9759","2014","ПУп41"
"608545","420128","2017","СИТ11"
"310817","420128","2015","СИТ31"
"167969","420128","2014","СИТ41"
"-131268","420128","2016","СРп21"
"-135364","420128","2016","СТП21"
"320545","420128","2015","СТП31"
"167713","420128","2014","СТП42"
"671521","449312","2017","СТФ11"
"342049","449312","2015","СТФ32"
"158497","449312","2014","СТФ41"
"174113","449312","2014","СТФ42"
"320033","420128","2015","СЭ32"
"166945","420128","2014","СЭ41"
"649505","14879","2017","ТКТ11"
"675105","14879","2017","ТКТ12"
"674593","14879","2017","ТКТ13"
"674849","14879","2017","ТКТ14"
"-124612","14879","2016","ТКТ21"
"-94404","14879","2016","ТКТ22"
"-106948","14879","2016","ТКТ23"
"-133316","14879","2016","ТКТ24"
"273953","14879","2015","ТКТ31"
"274209","14879","2015","ТКТ32"
"679201","14879","2017","ТКТ35"
"679457","14879","2017","ТКТ36"
"120353","14879","2014","ТКТ41"
"491553","14879","2016","ТКТ45"
"491809","14879","2016","ТКТ46"
"612641","13343","2017","УА11"
"612897","13343","2017","УА12"
"-88260","13343","2016","УА21"
"-141508","13343","2016","УА22"
"-80836","13343","2016","УА23"
"331297","13343","2015","УА31"
"331553","13343","2015","УА32"
"122145","13343","2014","УА41"
"122401","13343","2014","УА42"
"738081","13343","2017","УВТ31"
"490785","13343","2016","УВТ41"
"629025","13343","2017","УИ11"
"-99524","13343","2016","УИ21"
"332321","13343","2015","УИ31"
"128801","13343","2014","УИ41"
"609825","13343","2017","УЛп11"
"-122564","13343","2016","УЛп21"
"332577","13343","2015","УЛп31"
"610081","13343","2017","УМР11"
"589601","13343","2017","УМР12"
"-143044","13343","2016","УМР21"
"-96708","13343","2016","УМР22"
"333089","13343","2015","УМР31"
"334113","13343","2015","УМР32"
"127521","13343","2014","УМР41"
"127777","13343","2014","УМР42"
"652321","13343","2017","УНЭ11"
"606753","13343","2017","УНЭ12"
"-77764","13343","2016","УНЭ21"
"334625","13343","2015","УНЭ31"
"334881","13343","2015","УНЭ32"
"128033","13343","2014","УНЭ41"
"128289","13343","2014","УНЭ42"
"598049","13343","2017","УТС11"
